sentence,label,intent
London weather,location O,weather
show me all the flights arriving around noon in Jeju dc from Milan,O O O O O O O O O destination O O origin,flight
show me the flights from Moscow to Zurich on southwest airlines,O O O O O origin O destination O O O,flight
what is the distance from la guardia to Cancún downtown,O O O O O O O O destination O,other
what is the cheapest flight from Istanbul to Warsaw,O O O O O O origin O destination,flight
what type of airplane is an m_D_,O O O O O O O,other
Sharjah weather,location O,weather
do I need to bring umbrella to Istanbul today,O O O O O O O location O,weather
list california nevada arizona airports,O O O O O,other
on november twenty third of this year _D_ i 'd like to fly from Johannesburg to Nairobi and i 'd like to fly on delta,O O O O O O O O O O O O O O origin O destination O O O O O O O O,flight
what flights leave Mecca and arrive in Rome after _D_ pm on thursday,O O O origin O O O destination O O O O O,flight
i would like to fly from Phuket to Berlin,O O O O O O origin O destination,flight
if I am going to Honolulu should I bring umbrella,O O O O O location O O O O,weather
i 'd like to book an flight on american airlines from Guangzhou to Sousse with one stop in pittsburgh,O O O O O O O O O O O origin O destination O O O O O,flight
please tell me how many nonstop flights there are from Hanoi to Shenzhen,O O O O O O O O O O origin O destination,other
Zhuhai weather,location O,weather
current weather in Riyadh,O O O location,weather
what is ua,O O O,other
if I am going to Hangzhou should I bring umbrella,O O O O O location O O O O,weather
find me the weather forecast for Lisbon,O O O O O O location,weather
temperature in Kuala Lumpur,O O location location,weather
are there any flights on june tenth from Istanbul to Pattaya,O O O O O O O O origin O destination,flight
rain or sunny Artvin,O O O location,weather
what are the coach fares for flights from Sofia to Jakarta tuesday evening,O O O O O O O O origin O destination O O,other
show me Shanghai to Pattaya flights,O O origin O destination O,flight
what kind of ground transportation is available in denver,O O O O O O O O O,other
show me the flights in from Lima to Lima on tuesday afternoon,O O O O O O origin O destination O O O,flight
list flights from Amsterdam to Delhi in the morning,O O O origin O destination O O O,flight
may I know the weather in Dublin,O O O O O O location,weather
what classes of service does twa have,O O O O O O O,flight
i 'd like to book two flights to Dubai,O O O O O O O O destination,flight
july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from Brussels going to Delhi,O O O O O O O O O O O O O O O O O O O origin O O destination,other
Johannesburg temperature,location O,weather
what 's the weather like in Pattaya,O O O O O O location,weather
is it hot in Rome,O O O O location,weather
will Los Angeles be hot,O location location O O,weather
what flights takeoff and land at general mitchell international,O O O O O O O O O,flight
what is the airfare for flights from Dubai to Dublin on delta airline,O O O O O O O origin O destination O O O,other
find me the weather in country,O O O O O location,weather
list the distance in miles from boston airport to downtown boston,O O O O O O O O O O O,other
list flights from Krabi to Krabi friday afternoon,O O O origin O destination O O,flight
what planes are used by twa,O O O O O O,other
weather in East Province,O O location location,weather
give me the least expensive first class round trip ticket on us air from Florence to Dubai,O O O O O O O O O O O O O O origin O destination,other
show flights between San Francisco and Zhuhai,O O O origin origin O destination,flight
list delta flights from Suzhou to Riyadh with aircraft type,O O O O origin O destination O O O,flight
what 's the weather like in Artvin,O O O O O O location,weather
i 'd like a flight to Sofia from Burgas dc,O O O O O O destination O origin O,flight
i need a flight from Singapore to Burgas leaving at _D_ pm,O O O O O origin O destination O O O O,flight
in economy class from Florence to Abu Dhabi arriving july seventh i 'd like to know what 's the cheapest ticket possible,O O O O origin O destination destination O O O O O O O O O O O O O O,other
what is the fare from Shanghai to Bucharest on united airlines,O O O O O origin O destination O O O,other
what 's the weather like in Mecca,O O O O O O location,weather
i 'd like the first flight in the morning from country to Hangzhou,O O O O O O O O O O origin O destination,flight
will Djerba be hot,O location O O,weather
could i have listings of flights from Munich to Shanghai canada leaving on wednesday,O O O O O O O origin O destination O O O O,flight
i need flight and fare information for thursday departing prior to _D_ am from Siem Reap going to city,O O O O O O O O O O O O O O origin origin O O destination,other
what is your least expensive fare between Jaipur and Hanoi,O O O O O O O origin O destination,other
will Zhuhai be hot,O location O O,weather
do you have an afternoon flight leaving in the afternoon going from Cairo to Hong Kong with a stopover in dallas,O O O O O O O O O O O O origin O destination destination O O O O O,flight
show me flights from Mecca to Sofia on wednesday night or thursday morning,O O O O origin O destination O O O O O O,flight
is it going to be sunny in Paris,O O O O O O O location,weather
show me all the night fares between Hangzhou and Budapest,O O O O O O O origin O destination,other
i 'd like to fly from Rome to Brussels two days from today in the early morning,O O O O O O origin O destination O O O O O O O O,flight
show me all the flights from Bangkok on nationair,O O O O O O origin O O,flight
flights between Bucharest and Doha that arrive after _D_ o'clock and before _D_ o'clock on tuesday,O O origin O destination O O O O O O O O O O O,flight
San Francisco humidity,location location O,weather
show me the nonstop flights from Cancún to Burgas that leave in the afternoon and arrive between _D_ pm and _D_ pm,O O O O O O origin O destination O O O O O O O O O O O O O,flight
what is the ground transportation available in the city of fort worth,O O O O O O O O O O O O,other
list all flights and their fares for all flights between Melbourne and Kraków,O O O O O O O O O O origin O destination,other
what kind of aircraft do you have flying from Las Vegas to Beijing on august twenty seventh,O O O O O O O O O origin origin O destination O O O O,other
i need a plane that arrives in Sousse by _D_ o'clock pm on friday and leaves from Sydney,O O O O O O O destination O O O O O O O O O origin,other
sure i want to go from Orlando to Nice,O O O O O O origin O destination,flight
how many flights does delta have with a class of service code f,O O O O O O O O O O O O O,other
show me the united airlines flights from Manila to Toronto leaving on june fourteenth,O O O O O O O origin O destination O O O O,flight
what flights are there from Macau to Manila,O O O O O origin O destination,flight
what is the cost of united airlines flight _D_ from Cancún to Sydney thursday night,O O O O O O O O O O origin O destination O O,other
is it going to be sunny in Seoul,O O O O O O O location,weather
what are the times that you have planes leaving from Barcelona going to Tokyo on july seventh,O O O O O O O O O O origin O O destination O O O,other
temperature in Mexico City,O O location location,weather
i need a flight departing from Cairo to Antalya leaving monday before _D_ am,O O O O O O origin O destination O O O O O,flight
how many first class flights does delta airlines have,O O O O O O O O O,other
what 's the weather like in Hong Kong,O O O O O O location location,weather
is it raining in Sousse,O O O O location,weather
if I am going to country should I bring umbrella,O O O O O location O O O O,weather
which airlines serve pittsburgh,O O O O,other
can you list flights from Nairobi to Jakarta with the lowest one way fares that leave on saturday,O O O O O origin O destination O O O O O O O O O O,flight
where is lester pearson airport,O O O O O,other
i 'd like a ticket on a plane from Tokyo to Abu Dhabi i would like a coach class or lowest fare ticket,O O O O O O O O O origin O destination destination O O O O O O O O O O,other
hi i need to get a flight from Pattaya to Nice departing before _D_ am,O O O O O O O O origin O destination O O O O,flight
how long will it rain in Djerba,O O O O O O location,weather
I wonder how it feels today in Krabi,O O O O O O O location,weather
show me dallas ground transport,O O O O O,other
what does ewr stand for,O O O O O,other
show me the flights from love field,O O O O O O O,flight
weather in Vancouver,O O location,weather
what nonstop flights between Moscow and Guilin arrive after _D_ o'clock pm,O O O O origin O destination O O O O O,flight
show me the flights from London to Sousse on a saturday,O O O O O origin O destination O O O,flight
find me the weather forecast for Macau,O O O O O O location,weather
ground transportation san francisco,O O O O,other
how much does the american airlines flight _D_ from Pattaya to London cost,O O O O O O O O O origin O destination O,other
what planes does united use,O O O O O,other
current weather in Djerba,O O O location,weather
show me the fare from Kiev to Punta Cana,O O O O O origin O destination destination,other
ground transportation in san jose,O O O O O,other
please show me early morning flights from Edirne to Jeju on wednesday,O O O O O O O origin O destination O O,flight
show me airports near washington dc,O O O O O O,other
will city be hot,O location O O,weather
what is your last flight leaving Venice and arriving in Chennai,O O O O O O origin O O O destination,flight
is it raining in Phuket,O O O O location,weather
explain restriction ap _D_,O O O O,other
if I am going to Kraków should I bring umbrella,O O O O O location O O O O,weather
are there any flights on june tenth from Cairo to Denpasar,O O O O O O O O origin O destination,flight
rain or sunny Sydney,O O O location,weather
show me flights from Milan to Dublin please,O O O O origin O destination O,flight
i 'd like to know if you have any flights from Moscow to Johannesburg,O O O O O O O O O O O origin O destination,flight
how much is a round trip first class fare between Paris and Vancouver,O O O O O O O O O O origin O destination,other
could you tell me what the abbreviation us stands for,O O O O O O O O O O,other
does us air fly from dc to Punta Cana,O O O O O O O destination destination,flight
Riyadh to Guangzhou december twenty seventh,origin O destination O O O,flight
I want to know if it will rain in Amman,O O O O O O O O O location,weather
what meals are there on flight _D_ from Cancún to Edirne dc on tuesday morning,O O O O O O O O origin O destination O O O O,other
do you have a flight from Johannesburg to Antalya,O O O O O O origin O destination,flight
please tell me the times of the flights between Melbourne and Doha,O O O O O O O O O origin O destination,other
what is the most expensive one way fare from Moscow to Orlando on american airlines,O O O O O O O O O origin O destination O O O,other
what is the price of a first class ticket from Orlando to Punta Cana round trip,O O O O O O O O O O origin O destination destination O O,other
find the flights from Berlin to Milan leaving after _D_ pm,O O O O origin O destination O O O O,flight
i would like information on flights from Shanghai to Mumbai california on friday afternoon,O O O O O O O origin O destination O O O O,flight
what are the flights available after _D_ pm between Dublin and Kuala Lumpur,O O O O O O O O O origin O destination destination,flight
show me all of the daily flights arriving in Sofia between _D_ pm and _D_ pm,O O O O O O O O O destination O O O O O O,flight
how long will it rain in Edirne,O O O O O O location,weather
will it rain today in Agra,O O O O O location,weather
give me the flights from Buenos Aires to Chiang Mai,O O O O O origin origin O destination destination,flight
please show me airlines with service from Bangkok to Nairobi,O O O O O O O origin O destination,other
what is the schedule of flights from Frankfurt to Vancouver next monday,O O O O O O O origin O destination O O,other
what airlines leave from Munich,O O O O origin,other
find me the weather in Bangkok,O O O O O location,weather
show me flights between Djerba tennessee and Hanoi,O O O O origin O O destination,flight
is it hot in Johannesburg,O O O O location,weather
i want to go from Berlin to Bangkok on monday morning,O O O O O origin O destination O O O,flight
how long will it rain in Hanoi,O O O O O O location,weather
I wonder how it feels today in Manama,O O O O O O O location,weather
Dublin weather,location O,weather
what are the cheapest round trip flights from Bucharest to Muğla,O O O O O O O O origin O destination,flight
is it hot in Jaipur,O O O O location,weather
please tell me which airline has the most departures from Krabi,O O O O O O O O O O origin,other
rain or sunny Guangzhou,O O O location,weather
which airlines have flights between Phuket and San Francisco,O O O O O origin O destination destination,other
show me the ground transportation in the salt lake city airport,O O O O O O O O O O O,other
I want to know if it will rain in Paris,O O O O O O O O O location,weather
i need _D_ first class tickets from Bucharest to East Province,O O O O O O O origin O destination destination,other
what is the cost for a one way trip from Hangzhou to Dubai,O O O O O O O O O O origin O destination,other
display all flights from Miami to Zhuhai on august eighth,O O O O origin O destination O O O,flight
rain jacket needed in Frankfurt now,O O O O location O,weather
I wonder how it feels today in Venice,O O O O O O O location,weather
boston ground transportation,O O O,other
Denpasar weather,location O,weather
i want a flight from Guangzhou Guangzhou to Warsaw leaving Guangzhou Guangzhou in the afternoon arriving Warsaw around _D_ in the afternoon,O O O O O origin origin O destination O origin origin O O O O destination O O O O O,flight
please give me flights from Shanghai to Krabi on wednesday morning and thursday afternoon,O O O O O origin O destination O O O O O O,flight
what class is fare code q,O O O O O O,other
Madrid humidity,location O,weather
how long will it rain in Vancouver,O O O O O O location,weather
i would like a flight from Shenzhen to Phuket on friday morning after _D_ o'clock,O O O O O O origin O destination O O O O O O,flight
I want to know if it will rain in Amsterdam,O O O O O O O O O location,weather
Amman to Florence please on january one,origin O destination O O O O,flight
give me all the flights from Siem Reap to Lisbon,O O O O O O origin origin O destination,flight
i would like to book a round trip flight from Berlin to Agra,O O O O O O O O O O origin O destination,flight
list types of aircraft that fly between Vancouver and Brussels,O O O O O O O origin O destination,other
what 's the lowest one way fare from Shenzhen to Kuala Lumpur,O O O O O O O O origin O destination destination,other
how long will it rain in Cairo,O O O O O O location,weather
how about from dc to Nice on wednesday morning,O O O O O destination O O O,flight
weather in Sharjah,O O location,weather
list all us air flights from Shenzhen to Rome leaving on sunday afternoon,O O O O O O origin O destination O O O O,flight
what flights takeoff and land at general mitchell international,O O O O O O O O O,flight
how many canadian airlines international flights use aircraft _D_,O O O O O O O O O,other
evening flights from Nairobi to Munich,O O O origin O destination,flight
what are the rental car rates in san francisco,O O O O O O O O O,other
is it hot in Mumbai,O O O O location,weather
is it raining in Guangzhou,O O O O location,weather
how much does flight dl _D_ from Riyadh to Hong Kong cost,O O O O O O O origin O destination destination O,other
will Vancouver be hot,O location O O,weather
find me the weather forecast for Guangzhou,O O O O O O location,weather
what time does flight aa _D_ depart,O O O O O O O,other
what does code y mean,O O O O O,other
will Warsaw be hot,O location O O,weather
i need a flight from country to Amsterdam that goes through los angeles,O O O O O origin O destination O O O O O,flight
could you please give me the round trip fare from Nairobi to Berlin,O O O O O O O O O O origin O destination,other
what 's the weather like in Miami,O O O O O O location,weather
show me all the available flights from Sharjah to Sydney with economy fares,O O O O O O O origin O destination O O O,flight
i 'd like a flight leaving Tokyo august seventh and arriving in Toronto colorado august seventh leaving in the afternoon,O O O O O O origin O O O O O destination O O O O O O O,flight
is it going to be sunny in Krabi,O O O O O O O location,weather
show me all flights with fares from Munich to Kiev,O O O O O O O origin O destination,flight
show me the ground transportation schedule in philadelphia in the morning on wednesday,O O O O O O O O O O O O O,other
what flights are available from Vienna to Buenos Aires,O O O O O origin O destination destination,flight
i would like to fly from Jaipur to Bucharest with a stopover in dallas,O O O O O O origin O destination O O O O O,flight
Hangzhou temperature,location O,weather
what 's the earliest flight from Chennai to bwi that serves lunch,O O O O O O origin O O O O O,flight
is it going to be sunny in Antalya,O O O O O O O location,weather
sure i 'd like to determine what aircraft are use on july seventh leaving from Rome and arriving in Hangzhou on july seventh,O O O O O O O O O O O O O O O origin O O O destination O O O,other
what is the earliest flight on friday from Amman to city,O O O O O O O O origin O destination,flight
what about a car rental in denver,O O O O O O O,other
please give me the prices for all flights from Marrakech to denver airport next sunday,O O O O O O O O O origin O O O O O,other
weather in Honolulu,O O location,weather
how long will it rain in Chiang Mai,O O O O O O location location,weather
country humidity,location O,weather
show me round trip tickets from Manama to Mecca,O O O O O O origin O destination,other
is it raining in Phuket,O O O O location,weather
show me the schedule for airlines leaving country going to Berlin for next monday,O O O O O O O origin O O destination O O O,other
round trip first class fares Amsterdam to Guilin,O O O O O origin O destination,other
Amman weather,location O,weather
show me all the information about the flight from Venice to Artvin which is listed dl _D_ dl _D_,O O O O O O O O O origin O destination O O O O O O O,flight
please inform me the type of aircraft used on a flight from Jakarta to Jakarta before _D_ o'clock noon,O O O O O O O O O O O O origin O destination O O O O,other
i want all flights from Amsterdam to Brussels dc on thursday,O O O O O origin O destination O O O,flight
show me all prices of first class from Berlin to Nice,O O O O O O O O origin O destination,other
please list nonstop flights from Moscow to Paris on america west,O O O O O origin O destination O O O,flight
show me any show me what the first class fares are of the flights from Macau to Manila on monday,O O O O O O O O O O O O O O O origin O destination O O,other
list airports in new york,O O O O O,other
i need information on flights for tuesday leaving Riyadh for Sousse Riyadh to Sousse and Riyadh to Sousse,O O O O O O O O origin O destination origin O destination O origin O destination,flight
is there ground transportation from atlanta airport to downtown Moscow,O O O O O O O O O destination,other
list types of aircraft that connect Kraków and Kiev,O O O O O O origin O destination,other
please give me the earliest flight tomorrow from Delhi to Pattaya,O O O O O O O O origin O destination,flight
may I know the weather in Sofia,O O O O O O location,weather
show me the fares from Cancún to Jeju,O O O O O origin O destination,other
what are the costs of flights from Djerba to Jeju tomorrow,O O O O O O O origin O destination O,other
do I need to bring umbrella to Kuala Lumpur today,O O O O O O O location location O,weather
weather in Johannesburg,O O location,weather
Dublin temperature,location O,weather
shortest morning flights from Pattaya to Pattaya,O O O O origin O destination,flight
Orlando humidity,location O,weather
i want to see the cheapest flights from Buenos Aires to Moscow,O O O O O O O O origin origin O destination,flight
may I know the weather in Istanbul,O O O O O O location,weather
which airline has the most arrivals in Krabi,O O O O O O O destination,other
is it raining in Jaipur,O O O O location,weather
now i need flights leaving Sydney in the afternoon on wednesday and arriving in Denpasar,O O O O O origin O O O O O O O O destination,flight
show me the us air flights from San Francisco to San Francisco,O O O O O O O origin origin O destination destination,flight
rain jacket needed in Abu Dhabi now,O O O O location location O,weather
temperature in Tokyo,O O location,weather
if I am going to Istanbul should I bring umbrella,O O O O O location O O O O,weather
show me all flights with fares from Nice to Lima,O O O O O O O origin O destination,flight
information on ground transportation from airport to downtown Kuala Lumpur,O O O O O O O O destination destination,other
what flights are available on sunday to Djerba from Pattaya,O O O O O O O destination O origin,flight
what types of aircraft does delta fly,O O O O O O O,other
is there a plane from Jakarta to Artvin,O O O O O origin O destination,other
how far is toronto international from downtown,O O O O O O O,other
will it rain today in Pattaya,O O O O O location,weather
information on ground transportation in denver,O O O O O O,other
what type of plane is a d_D_s,O O O O O O O,other
what is the meaning of restriction ap_D_,O O O O O O O,other
is it going to be sunny in Miami,O O O O O O O location,weather
what 's the first flight from Shanghai to Los Angeles,O O O O O O origin O destination destination,flight
which flights are between Los Angeles and Paris,O O O O origin origin O destination,flight
Jakarta temperature,location O,weather
show me all flights from Las Vegas to Shenzhen which leave after _D_ o'clock pm the day after tomorrow,O O O O O origin origin O destination O O O O O O O O O O,flight
show me flights first class from Miami to Johannesburg leaving on tuesday after _D_ o'clock in the morning and before _D_ noon,O O O O O O origin O destination O O O O O O O O O O O O O,flight
Kuala Lumpur temperature,location location O,weather
is there ground transportation in dallas from the dallas airport to downtown Honolulu,O O O O O O O O O O O O destination,other
list us air flights leaving saturday from charlotte airport at _D_ pm,O O O O O O O O O O O O,flight
show me the flights from Jeju to Milan that arrive early in the morning,O O O O O origin O destination O O O O O O,flight
list all the flights that depart from general mitchell international,O O O O O O O O O O,flight
i would like the time your earliest flight from Chiang Mai to Toronto,O O O O O O O O O origin origin O destination,other
show me all connecting flights on united airlines between Phuket and Punta Cana,O O O O O O O O O origin O destination destination,flight
i 'd like a flight from Vancouver to Denpasar Denpasar that arrives in Denpasar Denpasar in the late afternoon,O O O O O O origin O destination destination O O O destination destination O O O O,flight
and how can i get to the boston airport from downtown Bangkok,O O O O O O O O O O O origin,other
rain jacket needed in Nairobi now,O O O O location O,weather
what 's the latest flight out of Mexico City that arrives in Doha next monday,O O O O O O O origin origin O O O destination O O,flight
great now what i want to find out is on april twentieth from Chiang Mai to Mecca do you have a flight least expensive fare around _D_ o'clock in the morning,O O O O O O O O O O O O O origin origin O destination O O O O O O O O O O O O O O,flight
ground transport in denver,O O O O,other
i need flight information for flights departing from San Francisco to Macau on wednesday after _D_ pm,O O O O O O O O origin origin O destination O O O O O,flight
show me round trips between Taipei and Hangzhou,O O O O O origin O destination,flight
is it raining in Cancún,O O O O location,weather
will Warsaw be hot,O location O O,weather
define airline hp,O O O,other
what is the last flight from Amsterdam to Mumbai,O O O O O O origin O destination,flight
what types of ground transportation are available in denver,O O O O O O O O O,other
temperature in Shenzhen,O O location,weather
i 'd like to go from Chennai to Las Vegas sometime after _D_ pm can you tell me the flights that could do that for me,O O O O O O origin O destination destination O O O O O O O O O O O O O O O O,flight
list the flights from Chennai to Los Angeles on june sixth after _D_ pm,O O O O origin O destination destination O O O O O O,flight
what type of aircraft does eastern fly from Chiang Mai to Budapest before _D_ pm,O O O O O O O O origin origin O destination O O O,other
what airlines service pittsburgh airport,O O O O O,other
airline and flight number from Dublin to Shanghai,O O O O O origin O destination,other
is it going to be sunny in London,O O O O O O O location,weather
what airlines have business class,O O O O O,other
what airlines flies out of Madrid,O O O O O origin,other
what is the earliest flight from Muğla to Suzhou,O O O O O O origin O destination,flight
list all nonstop flights on tuesday before noon from Dublin to Barcelona,O O O O O O O O O origin O destination,flight
is it hot in country,O O O O location,weather
find me the weather forecast for Kraków,O O O O O O location,weather
what is american 's schedule of morning flights to Milan,O O O O O O O O O destination,other
i need flight numbers and airlines for flights departing from Vancouver to Tokyo on thursday departing before _D_ am,O O O O O O O O O O origin O destination O O O O O O,other
do I need to bring umbrella to Budapest today,O O O O O O O location O,weather
Las Vegas weather,location location O,weather
sunday flights from Artvin to Denpasar,O O O origin O destination,flight
what classes of service does twa have,O O O O O O O,flight
I wonder how it feels today in Dubai,O O O O O O O location,weather
what time zone is denver in,O O O O O O,other
what 's the weather like in Edirne,O O O O O O location,weather
when does continental fly from Shanghai to Suzhou on sundays,O O O O O origin O destination O O,other
I want to know if it will rain in country,O O O O O O O O O location,weather
rain jacket needed in Artvin now,O O O O location O,weather
i 'm requesting flight information on a flight from Krabi to Edirne on friday,O O O O O O O O O origin O destination O O,flight
show me all flights and fares from Singapore to Moscow,O O O O O O O origin O destination,other
find me the weather forecast for country,O O O O O O location,weather
find me the weather in Munich,O O O O O location,weather
now show me all the flights from st. louis to Orlando,O O O O O O O O O O destination,flight
do you have a flight from Antalya to Phuket north carolina next monday,O O O O O O origin O destination O O O O,flight
is it going to be sunny in Abu Dhabi,O O O O O O O location location,weather
temperature in Sydney,O O location,weather
what are the afternoon flights between Vancouver and Kraków,O O O O O O origin O destination,flight
do I need to bring umbrella to Taipei today,O O O O O O O location O,weather
what is your cheapest flight from Johannesburg to Riyadh,O O O O O O origin O destination,flight
i want the cheapest flight from Budapest to Lima,O O O O O O origin O destination,flight
are meals ever served on tower air,O O O O O O O,other
please show me the return flight number from Sofia to Delhi,O O O O O O O O origin O destination,other
what 's the weather like in Honolulu,O O O O O O location,weather
what is the first class round trip airfare from india Beijing to Denpasar,O O O O O O O O O O origin O destination,other
show me fares for flights from Madrid to Hanoi on july first _D_,O O O O O O origin O destination O O O O,other
temperature in Munich,O O location,weather
find me the weather in Jaipur,O O O O O location,weather
show me all flights from Taipei to Hangzhou nonstop,O O O O O origin O destination O,flight
is there a flight on delta airlines from Orlando to Chiang Mai,O O O O O O O O origin O destination destination,flight
us _D_ Kiev to Muğla what is the fare,O O origin O destination O O O O,other
list the airfare for american airlines flight _D_ from jfk to lax,O O O O O O O O O O O O,other
will Guangzhou be hot,O location O O,weather
find me the weather in Zhuhai,O O O O O location,weather
i 'm traveling from Dublin to Frankfurt and i 'd like to go sometime after _D_ pm but i want to know what kind of airplane it 's on,O O O O origin O destination O O O O O O O O O O O O O O O O O O O O O O,other
rain jacket needed in Johannesburg now,O O O O location O,weather
are there any nonstop flights from Cancún to Amsterdam on wednesday may twelfth,O O O O O O origin O destination O O O O,flight
what is the lowest cost for a one way ticket from Doha to Seoul,O O O O O O O O O O O origin O destination,other
do I need to bring umbrella to Jakarta today,O O O O O O O location O,weather
how long will it rain in Kiev,O O O O O O location,weather
display all fare codes,O O O O,other
how long will it rain in Los Angeles,O O O O O O location location,weather
if I am going to Riyadh should I bring umbrella,O O O O O location O O O O,weather
find me the weather forecast for Suzhou,O O O O O O location,weather
show me next wednesday 's flights between Amman and Mumbai,O O O O O O O origin O destination,flight
Miami temperature,location O,weather
show me the car rentals in baltimore,O O O O O O O,other
what flights go from Manama to country after _D_ pm,O O O O origin O destination O O O,flight
flight numbers from Chiang Mai to Muğla on june twenty six,O O O origin origin O destination O O O O,other
i 'd like the cheapest one way fare from Orlando to Abu Dhabi,O O O O O O O O O origin O destination destination,other
show me all the night fares between San Francisco and Brussels,O O O O O O O origin origin O destination,other
weather in Chiang Mai,O O location location,weather
rain or sunny Vancouver,O O O location,weather
show me the flights from Paris to Hangzhou new jersey,O O O O O origin O destination O O,flight
I wonder how it feels today in Nice,O O O O O O O location,weather
show me ground transportation in fort worth,O O O O O O O,other
what are the ground transportation services in philadelphia,O O O O O O O O,other
Orlando humidity,location O,weather
what 's the fare for a taxi to denver,O O O O O O O O O,other
describe fare code qx,O O O O,other
can you list all flights from Berlin to Lisbon,O O O O O O origin O destination,flight
bring up flights from Vienna to Sofia on wednesday night or thursday morning,O O O O origin O destination O O O O O O,flight
will it rain today in Frankfurt,O O O O O location,weather
what 's the fare for a taxi to denver,O O O O O O O O O,other
show all airlines flying from Dubai to Manila,O O O O O origin O destination,other
list airlines that fly from Venice to Orlando,O O O O O origin O destination,other
earliest flight on american airlines from Rome dc to Sofia,O O O O O O origin O O destination,flight
Agra humidity,location O,weather
is it going to be sunny in Sydney,O O O O O O O location,weather
may I know the weather in Guangzhou,O O O O O O location,weather
find a flight on american airlines from San Francisco to Buenos Aires that makes a stopover in denver,O O O O O O O origin origin O destination destination O O O O O O,flight
is it hot in Chennai,O O O O location,weather
list Dublin to Vienna flights with stopovers in dallas,O origin O destination O O O O O,flight
I wonder how it feels today in Venice,O O O O O O O location,weather
which united airlines flight flies across this continent and leaves from Nice goes to Abu Dhabi and makes a stopover in philadelphia,O O O O O O O O O O O origin O O destination destination O O O O O O,flight
what are all flights to Tokyo from Beijing on sunday,O O O O O destination O origin O O,flight
do you have an afternoon flight leaving in the afternoon going from Zurich to Vancouver with a stopover in dallas,O O O O O O O O O O O O origin O destination O O O O O,flight
list all alaska airlines flights,O O O O O,flight
what is the code for business class,O O O O O O O,other
current weather in Budapest,O O O location,weather
Las Vegas weather,location location O,weather
find me the weather in Kiev,O O O O O location,weather
on united airlines flying from Punta Cana to Dubai before _D_ am what type of aircraft is used,O O O O O origin origin O destination O O O O O O O O O,flight
what is the cost of a first class ticket from Beijing to Riyadh,O O O O O O O O O O origin O destination,other
find a flight from Antalya to Munich dinner,O O O O origin O destination O,flight
temperature in Hanoi,O O location,weather
rain jacket needed in Berlin now,O O O O location O,weather
what does ground transportation look like in oakland,O O O O O O O O,other
please list nonstop flights from Hangzhou to Hangzhou on america west,O O O O O origin O destination O O O,flight
show me ground transportation for boston,O O O O O O,other
what are the fares for flights serving a meal from Moscow to Siem Reap before noon on thursday,O O O O O O O O O O origin O destination destination O O O O,other
is it hot in Punta Cana,O O O O location location,weather
Krabi humidity,location O,weather
show me the first class fares from Cairo to Kiev,O O O O O O O origin O destination,other
give me the flights from Sydney to Chennai,O O O O O origin O destination,flight
i would like to fly from Guilin to Punta Cana on united airlines,O O O O O O origin O destination destination O O O,flight
I wonder how it feels today in Denpasar,O O O O O O O location,weather
list flights from Prague arizona to Edirne california wednesday,O O O origin O O destination O O,flight
will it rain today in Jeju,O O O O O location,weather
i want to go from Jaipur to Toronto round trip and make a stop at pittsburgh is this possible,O O O O O origin O destination O O O O O O O O O O O,flight
is there a flight from Chiang Mai to Taipei that stops over in denver,O O O O O origin origin O destination O O O O O,flight
what kind of ground transportation is available in las vegas,O O O O O O O O O O,other
Manama humidity,location O,weather
Orlando to Zurich monday morning flights,origin O destination O O O,flight
i need a flight from Toronto to Guilin today,O O O O O origin O destination O,flight
hi could i get a one way ticket from Los Angeles to Miami,O O O O O O O O O origin origin O destination,other
i would like information on ground transportation city of boston between airport and downtown,O O O O O O O O O O O O O O,other
sunday flights from Taipei to Phuket,O O O origin O destination,flight
rain jacket needed in Shanghai now,O O O O location O,weather
Buenos Aires temperature,location location O,weather
what ground transportation is available in denver,O O O O O O O,other
i would like to make a reservation for a flight to Taipei from Nice on this coming sunday,O O O O O O O O O O O destination O origin O O O O,flight
which airlines fly from bwi to Venice,O O O O O O destination,other
what kind of ground transportation is there in denver,O O O O O O O O O,other
may I know the weather in Sharjah,O O O O O O location,weather
is it going to be sunny in Madrid,O O O O O O O location,weather
may I know the weather in Barcelona,O O O O O O location,weather
what is mco,O O O,other
I want to know if it will rain in Pattaya,O O O O O O O O O location,weather
list airlines flying from Macau to Barcelona,O O O O origin O destination,other
how long will it rain in city,O O O O O O location,weather
current weather in Orlando,O O O location,weather
what airline is ea,O O O O,other
what is the airfare from Shanghai to Jaipur,O O O O O origin O destination,other
find me the weather forecast for Miami,O O O O O O location,weather
is it hot in Artvin,O O O O location,weather
cheapest fare round trip from Tokyo to Frankfurt on december twenty seventh,O O O O O origin O destination O O O O,other
show me the flights from Nairobi new jersey to ontario international next saturday,O O O O O origin O O O O O O O,flight
weather in Doha,O O location,weather
does flight ua _D_ from Guangzhou to Cancún leave on tuesday,O O O O O origin O destination O O O,flight
is it hot in Krabi,O O O O location,weather
flight numbers from Jeju to Taipei,O O O origin O destination,other
please list nonstop twa flights from Zhuhai to Bangkok,O O O O O O origin O destination,flight
what ground transport is available in minneapolis,O O O O O O O,other
i 'd like to find a flight from Lima florida to Lima nevada that would arrive before _D_ pm on sunday,O O O O O O O O origin O O destination O O O O O O O O O,flight
please list flights from Barcelona to Riyadh,O O O O origin O destination,flight
